
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    192.168.33.138:64557   110.187.118.9:42178    TIME_WAIT       0
  TCP    192.168.33.138:64559   219.139.77.136:53927   TIME_WAIT       0
  TCP    192.168.33.138:64561   14.218.11.60:12361     TIME_WAIT       0
  TCP    192.168.33.138:64563   113.90.80.45:50291     TIME_WAIT       0
  TCP    192.168.33.138:64565   183.47.30.163:3234     TIME_WAIT       0
  TCP    192.168.33.138:64566   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64567   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64568   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64570   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64573   182.84.152.135:54912   TIME_WAIT       0
  TCP    192.168.33.138:64574   111.75.185.27:53602    TIME_WAIT       0
  TCP    192.168.33.138:64575   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64576   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64578   122.238.17.200:59120   TIME_WAIT       0
  TCP    192.168.33.138:64581   59.173.122.160:50323   TIME_WAIT       0
  TCP    192.168.33.138:64582   114.221.115.232:20047  TIME_WAIT       0
  TCP    192.168.33.138:64584   121.237.35.99:48607    TIME_WAIT       0
  TCP    192.168.33.138:64586   122.236.91.188:55496   TIME_WAIT       0
  TCP    192.168.33.138:64588   125.114.124.246:35646  TIME_WAIT       0
  TCP    192.168.33.138:64594   182.98.61.153:11414    TIME_WAIT       0
  TCP    192.168.33.138:64596   115.230.233.127:47379  TIME_WAIT       0
  TCP    192.168.33.138:64599   183.141.122.173:37217  ESTABLISHED     7044
  TCP    192.168.33.138:64600   115.209.191.100:30210  TIME_WAIT       0
  TCP    192.168.33.138:64604   119.99.251.229:44448   ESTABLISHED     7044
  TCP    192.168.33.138:64606   125.104.85.92:23328    TIME_WAIT       0
  TCP    192.168.33.138:64609   39.174.253.197:21378   ESTABLISHED     7044
  TCP    192.168.33.138:64610   116.196.140.222:25949  TIME_WAIT       0
  TCP    192.168.33.138:64614   121.231.210.186:57428  TIME_WAIT       0
  TCP    192.168.33.138:64616   183.130.156.166:37980  TIME_WAIT       0
  TCP    192.168.33.138:64618   114.231.136.170:29595  ESTABLISHED     7044
  TCP    192.168.33.138:64620   60.162.33.40:42161     ESTABLISHED     7044
  TCP    192.168.33.138:64622   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64625   27.29.183.32:20030     ESTABLISHED     7044
  TCP    192.168.33.138:64626   122.239.108.6:19542    ESTABLISHED     7044
  TCP    192.168.33.138:64627   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64629   182.47.131.246:31888   ESTABLISHED     7044
  TCP    192.168.33.138:64631   123.178.19.250:44047   ESTABLISHED     7044
  TCP    192.168.33.138:64632   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64634   112.39.85.167:13390    ESTABLISHED     7044
  TCP    192.168.33.138:64635   113.96.22.6:443        TIME_WAIT       0
  TCP    192.168.33.138:64639   59.174.119.207:34151   ESTABLISHED     7044
